particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,1021.22015,122.473976,1740.88684,6.76093435,1.52862418,-0.127231032,2.57858109,0.105658367,1
4503599660924928,13,0,-588.263916,-843.703674,-253.704697,3.53460741,-4.72163773,-7.31102228,-2.14631772,0.105658367,-1
4503599677702144,-13,0,-994.132324,263.801697,-81.5411758,3.44431925,-4.93160009,1.62766266,-0.411472976,0.105658367,1
4503599694479360,13,0,-234.60054,1001.42542,80.3627243,3.44209361,-2.47727895,9.22275162,0.74601388,0.105658367,-1
9007199271518208,13,0,648.622009,-798.235535,723.114807,4.1954236,4.16965628,-4.64248896,4.38531637,0.105658367,-1
9007199288295424,13,0,-420.77005,938.53241,-779.741882,4.30708504,-2.61487031,5.07876682,-4.32849932,0.105658367,-1
9007199305072640,-13,0,-400.599854,947.317383,-50.3816338,3.43933082,-1.30720007,3.8828795,-0.200497285,0.105658367,1
9007199321849856,13,0,-82.6212311,1025.21423,593.170166,3.96581435,-0.58452028,3.41450858,1.99518919,0.105658367,-1
13510798898888704,-13,0,1026.12097,70.4709167,43.8237762,3.46759319,1.47485542,-0.207785606,0.0630020276,0.105658367,1
13510798915665920,13,0,-968.730469,-345.617889,683.400696,4.12185383,-4.34339857,-1.87699676,3.14164472,0.105658367,-1
13510798932443136,13,0,942.880981,410.932953,1201.03418,5.28596258,1.73754823,1.09363055,2.38832068,0.105658367,-1
13510798949220352,13,0,-383.657288,-954.304749,-714.166748,4.17917776,-1.58489501,-4.76889277,-3.48717284,0.105658367,-1
18014398526259200,-13,0,262.625336,994.443726,207.572906,3.50103259,2.4332099,8.0058651,1.6882844,0.105658367,1
18014398543036416,13,0,-951.286316,391.081604,900.747498,4.56244946,-5.02500343,1.73243213,4.65225267,0.105658367,-1
18014398559813632,13,0,-621.700073,819.377502,-537.687134,3.87637448,-2.41799045,2.67669177,-1.88338983,0.105658367,-1
18014398576590848,-13,0,-972.861633,333.812347,-1494.771,6.0540204,-4.62712288,1.91367221,-7.27239513,0.105658367,1
22517998153629696,-13,0,289.560791,986.937195,779.642944,4.31977558,0.854197741,1.81617093,1.5153178,0.105658367,1
22517998170406912,-13,0,-244.910248,998.954163,-563.77887,3.91343737,-1.60816133,7.85441637,-4.39351988,0.105658367,1
22517998187184128,-13,0,-463.297302,918.284302,1419.98267,5.84987164,-2.2968452,5.23703575,7.89113474,0.105658367,1
22517998203961344,-13,0,-465.978638,-916.926514,462.838623,3.76307201,-4.24064302,-7.66389322,3.94066072,0.105658367,1
27021597781000192,-13,0,461.034821,919.422302,586.459961,3.95433235,1.87786186,3.05703688,2.04315925,0.105658367,1
27021597797777408,-13,0,-997.891968,249.203003,1072.88574,4.95944405,-5.06640196,1.58304739,5.53371048,0.105658367,1
27021597814554624,13,0,775.994629,675.072449,-1295.24902,5.51842785,4.05339861,3.93493104,-7.11059237,0.105658367,-1
27021597831331840,-13,0,-1000.11353,240.132156,-1215.43762,5.41897058,-0.53359437,0.445230216,-0.79260689,0.105658367,1
31525197408370688,13,0,-993.583801,265.860321,-1555.97034,6.22518063,-3.32469344,0.570416451,-5.09595537,0.105658367,-1
31525197425147904,-13,0,534.76532,-878.58783,-2692.19604,9.61981487,0.769530892,-1.85735321,-5.24159718,0.105658367,1
31525197441925120,13,0,196.787796,-1009.53699,-1151.75928,5.16019678,0.736534119,-2.16685629,-2.55500031,0.105658367,-1
31525197458702336,-13,0,-1028.29541,-22.3332443,-362.501007,3.63900065,-7.24701023,0.151024953,-2.55394173,0.105658367,1
36028797035741184,13,0,894.65564,-507.426605,490.025909,3.80112815,7.99530554,-4.18024921,4.29758739,0.105658367,-1
36028797052518400,13,0,-833.231873,536.486267,3001,10.5447884,-2.43892026,1.21697605,8.23762035,0.105658367,-1
36028797069295616,13,0,-993.146179,-267.490509,1374.00342,5.73177719,-2.38046169,-0.960481465,3.42082787,0.105658367,-1
36028797086072832,13,0,740.929871,-713.381653,540.353821,3.88491631,2.09798503,-1.59194088,1.38041425,0.105658367,-1
40532396663111680,13,0,-772.653137,678.894409,-1850.80164,7.06727791,-2.33396268,1.64027905,-5.12325907,0.105658367,-1
40532396679888896,13,0,-974.614319,328.660004,-2694.39795,9.62469673,-2.35483551,0.468690693,-6.27244759,0.105658367,-1
40532396696666112,13,0,-387.669189,-952.682007,-1582.90063,6.30594683,-0.495679349,-2.036201,-3.21347976,0.105658367,-1
40532396713443328,13,0,146.087906,-1018.11041,-1171.82458,5.22451115,0.506047249,-1.35578918,-1.63611579,0.105658367,-1
45035996290482176,-13,0,967.655701,-348.615601,-948.084778,4.66765451,5.3179841,-2.24364901,-5.31789064,0.105658367,1
45035996307259392,-13,0,-279.91983,989.714783,2184.82031,8.05695248,-0.778933704,3.88707662,8.41257477,0.105658367,1
45035996324036608,-13,0,27.6100082,1028.16736,-85.7958374,3.44601536,0.435198128,4.71962643,-0.395080179,0.105658367,1
45035996340813824,13,0,-996.06665,256.401215,87.3623047,3.44393301,-9.6707592,2.17098618,0.841725945,0.105658367,-1
49539595917852672,-13,0,-453.168732,923.324707,-1188.49365,5.24431992,-2.20285892,5.18813753,-6.50974321,0.105658367,1
49539595934629888,13,0,-636.230469,-808.14679,-443.15564,3.73705125,-4.1858139,-5.81534481,-3.08621836,0.105658367,-1
49539595951407104,13,0,-978.363342,317.325714,-925.418396,4.61679029,-5.53358746,1.47062135,-5.14913225,0.105658367,-1
49539595968184320,13,0,-267.973419,993.015991,1689.07202,6.59844017,-1.45991647,4.22643709,7.33726549,0.105658367,-1
54043195545223168,13,0,-1008.82031,200.429611,-130.945129,3.47134995,-2.38676119,0.159820393,-0.303696215,0.105658367,-1
54043195562000384,-13,0,-1008.37427,-202.661728,-29.4315624,3.43320394,-8.60756779,-1.41542399,-0.249561012,0.105658367,1
54043195578777600,-13,0,-860.580444,563.28656,-48.9968872,3.45499372,-1.4104917,1.29175448,-0.0907146484,0.105658367,1
54043195595554816,-13,0,571.645569,855.05072,370.0289,3.64875674,3.09129381,4.06906939,1.83731353,0.105658367,1
58546795172593664,13,0,315.825256,978.848755,1370.30603,5.71765566,1.00107992,4.10687065,5.62672853,0.105658367,-1
58546795189370880,-13,0,-1028.3717,18.4979897,-562.582642,3.93094325,-1.75495696,0.339965373,-0.972869217,0.105658367,1
58546795206148096,13,0,-1021.80054,-117.533554,-822.622314,4.40312624,-2.33966684,-0.579503477,-1.92252266,0.105658367,-1
58546795222925312,-13,0,-1017.79846,-148.245407,550.167053,3.9029634,-2.31783175,-0.0259975996,1.23621559,0.105658367,1
63050394799964160,13,0,-866.90686,553.500671,108.794281,3.45367122,-3.90775394,2.12917542,0.470341474,0.105658367,-1
63050394816741376,-13,0,-449.959076,-924.893127,-518.113098,3.84440446,-2.36906719,-4.16479301,-2.41196418,0.105658367,1
63050394833518592,13,0,-993.688904,-265.467072,224.28862,3.5134685,-5.69130135,-1.8396107,1.30372083,0.105658367,-1
63050394850295808,13,0,941.027527,-415.15976,1021.24634,4.8467536,2.02088928,-0.554547429,2.07318354,0.105658367,-1
67553994427334656,13,0,-266.307526,993.463989,1111.62891,5.05943203,-0.953742504,2.36704254,2.75138521,0.105658367,-1
67553994444111872,13,0,142.782516,1018.57922,350.938904,3.62649536,0.654940844,6.89339828,2.36184978,0.105658367,-1
67553994460889088,-13,0,997.240295,-251.798019,1847.52527,7.05723381,2.84505439,-1.03638673,5.42955303,0.105658367,1
67553994477666304,13,0,1024.47449,91.3369522,-1008.58057,4.80615091,6.9716444,0.931127429,-6.89486265,0.105658367,-1
72057594054705152,13,0,995.143066,-259.962708,-184.022827,3.48736286,5.82227039,-1.20226502,-1.0632025,0.105658367,-1
72057594071482368,-13,0,-951.679932,-390.122711,334.066925,3.61183357,-3.72888875,-1.19533527,1.27052462,0.105658367,1
72057594088259584,-13,0,921.226013,-457.419983,-16.5239697,3.43287826,5.92582989,-3.28664231,-0.108826093,0.105658367,1
72057594105036800,13,0,-137.772324,1019.26898,-2165.10132,8.00518703,-0.545303702,1.73230398,-3.80442977,0.105658367,-1
76561193682075648,-13,0,288.343353,987.293579,1007.28973,4.82273102,0.738205492,1.42773521,1.56432557,0.105658367,1
76561193698852864,-13,0,-452.826843,923.492432,-14.7775126,3.43194056,-4.07198238,9.0047493,-0.141965702,0.105658367,1
76561193715630080,-13,0,-683.598755,768.494141,-371.949219,3.65121841,-2.98793697,3.82294393,-1.75347018,0.105658367,1
76561193732407296,-13,0,961.539001,365.148163,-1450.04858,5.93793869,2.27143359,0.532752395,-3.27958035,0.105658367,1
81064793309446144,13,0,-300.147888,-983.769104,-664.459839,4.09823036,-0.319758415,-2.10468245,-1.37043929,0.105658367,-1
81064793326223360,-13,0,285.132446,-988.225647,936.94165,4.64234352,1.41438949,-6.01433992,5.62585688,0.105658367,1
81064793343000576,13,0,-303.400726,-982.770813,-677.290527,4.11172342,-0.880713999,-3.89810419,-2.62897897,0.105658367,-1
81064793359777792,-13,0,866.063843,554.818665,36.8291969,3.43412614,7.06356955,4.15887642,0.293442249,0.105658367,1
85568392936816640,13,0,870.14093,548.402466,956.633972,4.68746853,4.15195179,2.98122764,4.7511816,0.105658367,-1
85568392953593856,13,0,1010.73938,190.516113,-522.175049,3.87368274,1.48448682,0.593591452,-0.806586027,0.105658367,-1
85568392970371072,-13,0,-453.122833,923.34729,-1181.57336,5.22803688,-1.59485412,3.94981599,-4.88915825,0.105658367,1
85568392987148288,13,0,1017.39069,151.018646,920.412964,4.60584068,5.30312872,1.09890819,4.84383345,0.105658367,-1
90071992564187136,-13,0,831.731506,605.072876,-403.087982,3.68682718,4.99043322,3.24915934,-2.33272481,0.105658367,1
90071992580964352,-13,0,-805.64386,-639.396912,598.288025,3.9699862,-6.63205719,-4.8698554,4.78499556,0.105658367,1
90071992597741568,-13,0,-256.025177,-996.16333,146.426514,3.46679449,-2.11295176,-6.98250675,1.03826284,0.105658367,1
90071992614518784,13,0,-62.3786049,1026.64465,468.520569,3.77083039,-0.856893837,9.0187645,4.1259408,0.105658367,-1
