particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,538.236938,-876.465332,-455.26355,3.75345135,3.70490885,-5.44384146,-2.91364837,0.105658367,-1
4503599660924928,13,0,122.903107,-1021.16858,-329.955688,3.61467791,0.59789151,-2.38725019,-0.78741014,0.105658367,-1
4503599677702144,-13,0,1002.96271,227.939194,-469.945557,3.77376556,6.04458523,1.05751705,-2.8025775,0.105658367,1
4503599694479360,-13,0,400.797607,-947.233643,-604.000916,3.98016739,2.24349546,-6.09350443,-3.81175661,0.105658367,1
9007199271518208,13,0,-978.82959,315.884521,223.175369,3.51296067,-5.41857243,1.42465615,1.21508324,0.105658367,-1
9007199288295424,13,0,-33.0819893,1028.00586,-1817.34351,6.97888756,-0.360627145,1.61958969,-2.91472435,0.105658367,-1
9007199305072640,13,0,749.692688,-704.167175,332.760956,3.60747695,5.09234428,-4.36007214,2.16813302,0.105658367,-1
9007199321849856,-13,0,477.315918,-911.076294,-481.354126,3.80192852,0.733934641,-2.06533647,-1.02238691,0.105658367,1
13510798898888704,13,0,-894.437927,507.810272,316.237946,3.59137368,-5.2559123,2.62942648,1.80611706,0.105658367,-1
13510798915665920,13,0,-190.378876,1010.7652,-503.336761,3.82393765,-1.02548528,3.77866149,-1.91407108,0.105658367,-1
13510798932443136,13,0,-689.874939,-762.865051,319.409424,3.59360695,-5.01716852,-6.00771236,2.43007541,0.105658367,-1
13510798949220352,-13,0,-417.903168,939.812439,-42.4390411,3.43477273,-3.16476345,7.87606287,-0.350155473,0.105658367,1
18014398526259200,13,0,89.3876801,-1024.64648,-2970.05688,10.4880276,0.52651912,-2.48746085,-7.32398939,0.105658367,-1
18014398543036416,-13,0,967.020935,-350.372681,-839.99115,4.43285894,3.81567669,-1.71046603,-3.41188049,0.105658367,1
18014398559813632,-13,0,393.69223,950.208862,-1301.92236,5.53577948,2.51828289,5.27251244,-7.39268017,0.105658367,1
18014398576590848,-13,0,792.985107,-655.030579,-48.1527252,3.44624043,1.73018825,-1.82913113,-0.117578678,0.105658367,1
22517998153629696,13,0,-952.000854,389.338989,-512.228821,3.83390212,-7.10823727,2.57391191,-3.7639091,0.105658367,-1
22517998170406912,-13,0,-946.659729,-402.15152,-836.306702,4.4246583,-4.24920511,-1.47009182,-3.65310073,0.105658367,1
22517998187184128,-13,0,-975.931091,324.729065,-143.415695,3.47908926,-1.97579443,0.982390523,-0.306666285,0.105658367,1
22517998203961344,13,0,938.968933,419.794952,862.501465,4.47967434,4.48223686,2.34168363,4.23807621,0.105658367,-1
