particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,-792.950134,655.072937,-130.977081,3.46628594,-2.55430698,1.71020818,-0.390790224,0.105658367,-1
4503599660924928,-13,0,-1009.67047,196.10199,-152.898026,3.47487545,-3.25685596,0.946668744,-0.503491938,0.105658367,1
4503599677702144,-13,0,72.6412201,-1025.9696,-1072.03906,4.96766281,-0.163457081,-2.05731082,-2.14302611,0.105658367,1
4503599694479360,13,0,527.467407,-882.988403,-431.518799,3.72245383,3.31963849,-4.95586014,-2.50145173,0.105658367,-1
9007199271518208,13,0,-313.195587,979.693237,374.455109,3.65226007,-2.67157316,7.34421158,2.84444499,0.105658367,-1
9007199288295424,-13,0,150.041519,-1017.53528,-558.399353,3.90569329,0.555682957,-5.88220215,-3.20624352,0.105658367,1
9007199305072640,13,0,511.018097,-892.60907,338.143127,3.61235285,4.72571468,-7.63391399,2.95111847,0.105658367,-1
9007199321849856,-13,0,812.394165,630.798035,868.320496,4.53753185,1.02722597,0.407221675,0.920485795,0.105658367,1
13510798898888704,-13,0,-69.9083099,1026.15942,-2035.72961,7.61243486,0.123338327,2.72618222,-5.38976955,0.105658367,1
13510798915665920,13,0,-795.331665,-652.179382,-1190.70386,5.25362825,-2.13767457,-2.15167451,-3.5051868,0.105658367,-1
13510798932443136,-13,0,-437.164032,-931.009155,965.453003,4.70734406,-2.56146288,-4.72956991,5.04598856,0.105658367,1
13510798949220352,-13,0,916.953003,-465.926666,55.5193558,3.48851728,0.889921665,-0.798062503,0.0637941882,0.105658367,1
18014398526259200,13,0,-577.410828,851.168152,-1370.4425,5.71778488,-2.74310732,3.49438906,-5.9144454,0.105658367,-1
18014398543036416,13,0,1028.53552,-2.2388823,-251.626648,3.53948331,3.08249927,0.301638782,-0.75646472,0.105658367,-1
18014398559813632,13,0,-406.248505,-944.908752,67.5555725,3.44391608,-1.13162363,-3.41276002,0.235865474,0.105658367,-1
18014398576590848,-13,0,-388.153351,952.484863,-85.4692612,3.4457767,-1.5413847,4.59945297,-0.402824014,0.105658367,1
22517998153629696,-13,0,731.306519,723.24353,1299.29956,5.56020975,1.04155493,0.596398771,1.49917507,0.105658367,1
22517998170406912,-13,0,-535.598572,-878.080078,167.530884,3.48813057,-1.53294683,-1.92103302,0.399261624,0.105658367,1
22517998187184128,-13,0,999.348083,-243.297852,-510.024719,3.83224392,4.66256285,-1.45248604,-2.42001963,0.105658367,1
22517998203961344,13,0,451.854309,923.968689,-1323.21729,5.59349442,1.38493311,3.53384352,-4.87758684,0.105658367,-1
27021597781000192,-13,0,-206.341202,-1007.62781,797.518738,4.34290457,-1.53477156,-5.95775795,4.76841259,0.105658367,1
27021597797777408,13,0,213.420532,-1006.1521,392.074097,3.67298102,1.79097426,-6.95736694,2.73773885,0.105658367,-1
27021597814554624,13,0,556.798035,-864.792664,233.272232,3.51894951,4.87685299,-7.00490808,1.93539774,0.105658367,-1
27021597831331840,13,0,490.2948,-904.157898,1782.73303,6.87595367,1.149055,-1.47213387,3.2220335,0.105658367,-1
31525197408370688,13,0,860.908386,562.785217,1364.34106,5.70548105,2.05882001,1.71426034,3.54587555,0.105658367,-1
31525197425147904,13,0,-938.825623,-420.115326,-72.357872,3.4407537,-6.3824873,-3.19391394,-0.501935482,0.105658367,-1
31525197441925120,13,0,-935.855408,-426.690887,378.305176,3.65991688,-3.47869492,-1.92495012,1.46085429,0.105658367,-1
31525197458702336,-13,0,772.427124,679.151489,564.597778,3.91536856,4.93556023,3.9289732,3.4615345,0.105658367,1
36028797035741184,13,0,-70.1886215,-1026.14038,1795.03186,6.90603304,0.127054408,-2.66100001,4.63891792,0.105658367,-1
36028797052518400,13,0,779.914978,-432.100586,3001,10.4983253,0.548312783,0.00179788668,1.76679182,0.105658367,-1
36028797069295616,-13,0,-674.398071,776.580627,-377.560516,3.65564728,-5.3172226,6.59313774,-3.10855103,0.105658367,1
36028797086072832,13,0,-622.552063,818.730347,-1468.39233,5.98359203,-2.33731222,2.56441331,-4.94707012,0.105658367,-1
40532396663111680,13,0,1028.03931,32.026474,-2802.93237,9.96469784,2.11905527,0.374512404,-5.84407711,0.105658367,-1
40532396679888896,-13,0,-557.378357,-864.418701,-53.0024872,3.43629313,-5.13121414,-7.38882256,-0.463478595,0.105658367,1
40532396696666112,13,0,-585.324463,845.745667,682.796265,4.11977816,-3.5895319,4.64474583,3.89509821,0.105658367,-1
40532396713443328,13,0,-901.005554,496.063904,860.889038,4.4852643,-2.09879041,0.803531766,1.87510478,0.105658367,-1
45035996290482176,-13,0,1028.19458,-26.5752983,315.565674,3.60572958,2.00705457,-0.36032638,0.623229325,0.105658367,1
45035996307259392,-13,0,-253.592087,-996.785583,-474.40271,3.78005219,-1.77419996,-5.72316456,-2.76246428,0.105658367,1
45035996324036608,13,0,-1028.01733,32.7218056,32.9729919,3.43561411,-4.93541813,-0.151409686,0.158191666,0.105658367,-1
45035996340813824,13,0,284.54483,-988.39502,200.386337,3.52029324,0.761907399,-1.53198326,0.331524074,0.105658367,-1
49539595917852672,13,0,-1024.95605,85.7639694,-590.816833,3.95824528,-6.17723036,0.207458898,-3.54887605,0.105658367,-1
49539595934629888,-13,0,857.945251,-567.292114,-641.812439,4.05492449,1.81247401,-1.56810677,-1.49138701,0.105658367,1
49539595951407104,-13,0,5.50624132,1028.52319,624.913452,4.01615858,0.340657592,6.0343709,3.67057347,0.105658367,1
49539595968184320,-13,0,52.942112,-1027.17456,-2898.97192,10.2628212,-0.140311524,-3.26815724,-9.20621777,0.105658367,1
54043195545223168,13,0,972.791382,-334.016968,1858.69421,7.09253025,2.27927184,-0.4565911,4.18837452,0.105658367,-1
54043195562000384,13,0,-499.175385,899.285522,-682.493591,4.13308954,-1.22283804,1.56765127,-1.31394601,0.105658367,-1
54043195578777600,13,0,518.359192,888.366028,-1013.19135,4.84812593,0.365019858,1.23740232,-1.25856674,0.105658367,-1
54043195595554816,-13,0,362.894226,962.391907,-159.697601,3.50432467,0.809926152,1.27397668,-0.232746348,0.105658367,1
58546795172593664,13,0,-1028.38208,17.9087753,-1084.02856,5.00624037,-1.51409769,-0.282027423,-1.61226213,0.105658367,-1
58546795189370880,-13,0,546.563721,-871.297058,-206.809387,3.53774261,0.456754237,-1.30838573,-0.276316255,0.105658367,1
58546795206148096,-13,0,279.769196,-989.757385,-1507.35693,6.0892992,0.853227139,-4.15212107,-6.2067337,0.105658367,1
58546795222925312,-13,0,-934.016724,-430.700867,-904.267212,4.6006279,-1.29537034,-0.257778674,-1.15047538,0.105658367,1
63050394799964160,-13,0,-808.202942,-636.15918,-166.672485,3.48120856,-3.0076313,-1.97498,-0.582351089,0.105658367,1
63050394816741376,-13,0,1012.89777,-178.685364,-203.82753,3.49900103,6.89143801,-1.52882814,-1.39844835,0.105658367,1
63050394833518592,13,0,-335.499329,-972.281189,694.329651,4.14066172,-1.97408819,-6.66623211,4.69177055,0.105658367,-1
63050394850295808,13,0,35.3225441,-1027.93127,-654.70105,4.06782627,0.591584563,-8.23725224,-5.2555871,0.105658367,-1
67553994427334656,-13,0,-816.303955,625.730225,-48.9571342,3.43844914,-3.32793522,2.9395144,-0.211180717,0.105658367,1
67553994444111872,-13,0,-837.74762,596.715454,-194.175171,3.49303102,-5.30064726,4.15414572,-1.27094948,0.105658367,1
67553994460889088,13,0,822.658875,617.351501,1640.76855,6.46216011,2.84601426,2.52126217,6.05873919,0.105658367,-1
67553994477666304,-13,0,-578.476624,850.444153,-514.06665,3.8369503,-3.51269364,5.71241283,-3.35050797,0.105658367,1
72057594054705152,13,0,-864.189758,-557.733337,-844.55365,4.44466257,-2.54458189,-2.00921798,-2.65821242,0.105658367,-1
72057594071482368,-13,0,1019.48669,136.152039,365.089447,3.64268184,5.69902515,0.450017005,2.02823591,0.105658367,1
72057594088259584,13,0,-607.221802,-830.16394,1488.95142,6.09643602,-0.224822119,-0.829658628,1.21663129,0.105658367,-1
72057594105036800,13,0,-1028.36694,-18.7616711,-1400.46948,5.8045516,-2.23316216,-0.349141389,-3.06804109,0.105658367,-1
76561193682075648,-13,0,-183.898346,-1011.96436,-711.625122,4.17427921,-1.213889,-4.95526361,-3.52766991,0.105658367,1
76561193698852864,-13,0,-984.425964,-297.986481,-663.711182,4.08457375,-6.35456514,-1.60136664,-4.22721243,0.105658367,1
76561193715630080,-13,0,634.048645,809.859741,-679.854858,4.11417484,4.06311846,4.68955898,-4.09970236,0.105658367,1
76561193732407296,13,0,-233.228241,1001.74597,-448.532135,3.74501824,-1.56853068,5.37722969,-2.44143248,0.105658367,-1
81064793309446144,-13,0,721.730286,-732.799866,874.901306,4.50599527,3.64852762,-4.14391375,4.69404316,0.105658367,1
81064793326223360,-13,0,-801.539734,-644.534363,-2098.0415,7.7979598,-2.42453313,-1.55394328,-5.86298561,0.105658367,1
81064793343000576,13,0,776.448303,674.550537,-2234.62646,8.26772785,0.301132768,0.670072734,-1.54662752,0.105658367,-1
81064793359777792,-13,0,1022.89264,-107.615326,-460.419037,3.78682446,1.49047375,-0.466857791,-0.694573462,0.105658367,1
85568392936816640,13,0,-534.231262,-878.912598,-1444.47632,5.94301939,-0.365110248,-1.19432831,-1.73580039,0.105658367,-1
85568392953593856,13,0,797.575378,-649.433594,1122.11731,5.0905757,1.6925633,-0.980546653,2.12514663,0.105658367,-1
85568392970371072,-13,0,-63.9197617,-1026.54993,-761.542603,4.26990414,-0.781297445,-7.58596706,-5.64491844,0.105658367,1
85568392987148288,-13,0,-789.58905,-659.120178,-1154.83459,5.15991259,-4.60178995,-3.43974519,-6.44766474,0.105658367,1
90071992564187136,-13,0,405.523132,945.220337,1758.20081,6.79885197,1.43537045,2.56358671,5.01314211,0.105658367,1
90071992580964352,-13,0,-748.639648,-705.28656,207.799103,3.50143147,-5.67165613,-4.9195838,1.51643968,0.105658367,1
90071992597741568,-13,0,979.934875,-312.438873,-306.238892,3.58568978,3.15951061,-1.33100832,-1.0194062,0.105658367,1
90071992614518784,-13,0,-844.865784,586.593811,94.0452728,3.45714784,-1.84290159,1.65491641,0.225889966,0.105658367,1
