particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,-1027.27039,51.0483055,849.430115,4.4604845,-2.27999687,-0.195428193,1.8841176,0.105658367,-1
4503599660924928,13,0,613.279907,-825.698608,-1213.97791,5.31225491,2.10284352,-2.31406164,-3.68453836,0.105658367,-1
4503599677702144,-13,0,1021.64685,-118.862,-450.407959,3.75519919,2.55372286,-0.607536912,-1.14686012,0.105658367,1
4503599694479360,13,0,291.299255,-986.425476,-518.983093,3.84860373,1.24956155,-3.1426506,-1.70411098,0.105658367,-1
9007199271518208,-13,0,780.518127,-669.837219,-543.472107,3.94141984,0.560690761,-0.887511909,-0.546519399,0.105658367,1
9007199288295424,-13,0,1008.50214,-202.024429,-1126.578,5.09347296,3.00534248,-0.9165079,-3.43593907,0.105658367,1
9007199305072640,13,0,703.157654,-750.639587,-690.436218,4.13371706,4.48587179,-4.33775473,-4.18716049,0.105658367,-1
9007199321849856,13,0,1022.08423,115.040115,2023.23181,7.57617617,2.42241168,0.582948089,4.88858318,0.105658367,-1
13510798898888704,-13,0,-899.526855,498.740326,-1413.85864,5.83345604,-4.6446228,2.92777038,-7.54327774,0.105658367,1
13510798915665920,13,0,-1024.67078,-89.1079102,-746.533508,4.24614382,-2.89834905,-0.561559319,-2.1388936,0.105658367,-1
13510798932443136,-13,0,-534.14093,-878.967529,700.944275,4.1597991,-1.68804741,-2.18405128,1.87724698,0.105658367,1
13510798949220352,-13,0,-107.270218,1022.92889,6.92498827,3.43824077,-0.0226456169,3.1724782,0.0213266313,0.105658367,1
18014398526259200,-13,0,-28.7591572,1028.13586,314.89389,3.59102511,0.173116535,4.83881569,1.48138094,0.105658367,1
18014398543036416,13,0,-338.938293,971.087708,-1039.33704,4.87861919,-2.4992857,6.22496176,-6.77599001,0.105658367,-1
18014398559813632,13,0,374.233398,-958.039551,1095.91565,5.01492119,2.3583281,-5.1898737,6.07103968,0.105658367,-1
18014398576590848,13,0,-466.500488,916.661194,-697.203369,4.14941025,-1.9139539,3.08102512,-2.45570111,0.105658367,-1
22517998153629696,13,0,-705.629272,748.31665,918.385803,4.60592937,-2.21583509,1.90042973,2.60167718,0.105658367,-1
22517998170406912,-13,0,-651.916626,-795.547119,60.433548,3.43750191,-6.50143719,-7.44735146,0.580771208,0.105658367,1
22517998187184128,13,0,-974.181702,-329.939972,-253.165741,3.53439879,-7.31497765,-2.80302048,-1.92768323,0.105658367,-1
22517998203961344,-13,0,-20.5165386,1028.33337,-152.99765,3.47684908,0.249322936,2.96153688,-0.441298991,0.105658367,1
27021597781000192,-13,0,531.755005,-880.413025,-110.690674,3.45156884,4.33097601,-7.76710224,-0.956866384,0.105658367,1
27021597797777408,13,0,-999.312317,-243.444656,762.905334,4.27556133,-3.66819763,-1.21098351,2.86222529,0.105658367,-1
27021597814554624,13,0,903.047119,492.337616,1159.64429,5.17392921,3.12023783,2.05233812,4.20596218,0.105658367,-1
27021597831331840,-13,0,-658.528198,790.082947,-1286.45862,5.5167942,-0.660931885,1.27456748,-1.78178442,0.105658367,1
31525197408370688,13,0,1009.1048,-198.992462,212.538742,3.50475526,6.99800968,-1.06570065,1.46228898,0.105658367,-1
31525197425147904,13,0,-545.533691,871.942322,356.523193,3.63906217,-1.82281983,2.33211303,1.02415609,0.105658367,-1
31525197441925120,13,0,-965.519653,354.4888,732.80304,4.22114468,-2.57348561,0.616377175,1.88110721,0.105658367,-1
31525197458702336,-13,0,787.03772,-662.164673,-1088.7655,4.9970932,5.01556063,-4.62274504,-7.21791983,0.105658367,1
36028797035741184,-13,0,1010.29059,-192.881866,-554.107788,3.91566563,1.75755775,-0.649465203,-1.00484216,0.105658367,1
36028797052518400,-13,0,459.578033,-920.151367,-479.040497,3.83195353,0.243807971,-1.17822826,-0.554131806,0.105658367,1
36028797069295616,-13,0,-136.490799,-1019.44135,1136.62341,5.13261843,-0.515017271,-1.52305031,1.76571739,0.105658367,1
36028797086072832,-13,0,1019.98773,-132.345581,132.595276,3.46019411,8.55845165,-1.42141008,1.11820138,0.105658367,1
40532396663111680,13,0,1001.65247,-233.629532,482.766235,3.79234242,5.2117815,-0.898992896,2.48097873,0.105658367,-1
40532396679888896,13,0,890.10791,-515.362305,-490.27771,3.87007689,0.974986911,-0.208203882,-0.467437178,0.105658367,-1
40532396696666112,-13,0,1026.08362,71.011734,234.610046,3.52061772,6.56565428,0.145300984,1.49744511,0.105658367,1
40532396713443328,13,0,-932.457581,-434.065826,-41.0160599,3.43456578,-7.61573982,-3.88530254,-0.340865821,0.105658367,-1
45035996290482176,13,0,-1008.89655,-200.045547,-1601.74109,6.35105228,-4.94000626,-1.29386294,-7.94772243,0.105658367,-1
45035996307259392,-13,0,-1019.11597,138.89978,242.802536,3.53428388,-2.7183907,0.68170011,0.66024971,0.105658367,1
45035996324036608,13,0,962.403259,362.864197,-2134.81079,7.91061878,1.991377,1.08036518,-4.68775606,0.105658367,-1
45035996340813824,-13,0,-634.177368,809.758911,-1712.55994,6.68946648,-0.489295959,1.12485778,-2.02054811,0.105658367,1
49539595917852672,13,0,954.653015,382.789917,402.818848,3.68554902,7.63332939,3.39296985,3.27081609,0.105658367,-1
49539595934629888,13,0,813.026855,629.982361,-83.247963,3.51050854,0.605999708,0.859647751,-0.083878167,0.105658367,-1
49539595951407104,-13,0,132.452835,-1019.97388,2915.82983,10.3317528,-0.159418166,-1.16679442,3.29959226,0.105658367,1
49539595968184320,-13,0,598.891602,836.193359,595.671387,3.98035812,1.41476977,1.44579339,1.16694951,0.105658367,1
54043195545223168,13,0,-99.1798706,-1023.745,-477.639709,3.79504156,0.0837467015,-2.33325887,-1.0810653,0.105658367,-1
54043195562000384,-13,0,130.074783,1020.27985,815.537964,4.38801956,0.614811242,2.38425875,1.9472177,0.105658367,1
54043195578777600,-13,0,-494.685974,-901.762878,-931.784424,4.63470411,-1.80060697,-2.64121699,-2.89139056,0.105658367,1
54043195595554816,-13,0,-57.3745918,1026.93652,-2773.427,9.87196255,0.18388845,2.23628283,-6.03128719,0.105658367,1
58546795172593664,13,0,-138.555908,1019.16278,120.877792,3.45852017,-0.874823809,4.14590931,0.497532308,0.105658367,-1
58546795189370880,-13,0,738.784241,-715.603455,-383.962708,3.66585922,2.8546536,-3.19436646,-1.59788978,0.105658367,1
58546795206148096,-13,0,-687.565247,-764.947327,165.834824,3.48990607,-1.70247459,-1.43281794,0.357617706,0.105658367,1
58546795222925312,13,0,-1026.48218,-64.997612,1940.09521,7.32739449,-3.50536489,-0.530927777,6.67901039,0.105658367,-1
63050394799964160,-13,0,-972.195374,-335.747925,-925.118713,4.61918879,-3.30410552,-0.814855754,-3.05672264,0.105658367,1
63050394816741376,13,0,-439.568237,929.876465,-938.548523,4.68122816,-0.78894794,0.947467387,-1.11312115,0.105658367,-1
63050394833518592,-13,0,-959.462097,-370.571045,195.731186,3.49391437,-6.55671406,-2.20183873,1.31578493,0.105658367,1
63050394850295808,13,0,170.532776,-1014.30219,-150.815918,3.46880317,1.55176449,-7.36990547,-1.10404527,0.105658367,-1
67553994427334656,13,0,709.750671,-744.408752,-70.6930008,3.44477725,2.66076565,-2.34385061,-0.243406385,0.105658367,-1
67553994444111872,-13,0,221.984894,1004.2973,-599.261536,3.97179055,1.93292034,7.31616926,-4.40769005,0.105658367,1
67553994460889088,13,0,1028.29736,-22.2481976,-1051.32349,4.90802956,4.9950819,0.200346723,-5.10660124,0.105658367,-1
